전철역명,지번주소
퇴계원,대한민국 경기도 남양주시 퇴계원면 퇴계원리 218
사릉,대한민국 경기도 남양주시 진건읍 사능리 604-4
금곡,대한민국 남양주시 금곡동 금곡
평내호평,대한민국 남양주시 평내동 평내호평역
천마산,대한민국 경기도 남양주시 화도읍 묵현리 산99-16
마석,대한민국 남양주시 화도읍 마석역
대성리,대한민국 가평군 청평면 대성리
청평,대한민국 가평군 청평면 청평역
상천,대한민국 경기도 가평군 청평면 상천리 1261-4
가평,대한민국 가평군 가평읍 가평역
굴봉산,대한민국 춘천시 남산면 굴봉산역
백양리,대한민국 강원도 춘천시 남산면 강촌리 680-7
강촌,대한민국 강원도 춘천시 남산면 강촌로 150
춘천,대한민국 강원도 춘천시 근화동 190-1
봉명,대한민국 충청남도 천안시 동남구 봉명동 25-25
쌍용(나사렛대),대한민국 충청남도 천안시 서북구 쌍용2동 426-4
아산,대한민국 충청남도 아산시 배방읍 장재리 268
배방,대한민국 충청남도 아산시 배방읍 온천대로 1967
온양온천,대한민국 아산시 온양2동 온양온천역
신창,대한민국 충청남도 아산시 신창면 행목리 346-43
선바위,대한민국 과천시 과천동 선바위
경마공원,대한민국 과천시 과천동 경마공원
대공원,대한민국 경기도 군포시 당동 대공원
과천,대한민국 과천시 별양동 과천역
정부과천청사,대한민국 경기도 과천시 중앙동 6-3
인덕원,대한민국 경기도 안양시 관양동 154-1
평촌,대한민국 경기도 안양시 동안구 관양동 부림로 지하 123
범계,대한민국 경기도 안양시 동안구 범계동 범계
삼동,대한민국 경기도 광주시 광남동 순암로 461
경기광주,대한민국 광주시 역동 경기광주역2번출구
초월,대한민국 경기도 광주시 초월읍 쌍동리 264-4
곤지암,대한민국 경기도 광주시 곤지암읍 곤지암리 365-5
신둔도예촌,대한민국 경기도 이천시 신둔면 남정리 379-1
이천,대한민국 경기도 이천시 율현동 산1-2
부발,대한민국 이천시 부발읍 부발
세종대왕릉,대한민국 경기도 여주군 능서면 신지리 266-5
구로,대한민국 서울특별시 구로구 구로동 구로중앙로 174
금천구청,대한민국 서울특별시 시흥1동 금천구청역
석수,대한민국 석수역
관악,대한민국 경기도 안양시 만안구 석수1동 246
안양,대한민국 경기도 안양시 만안구 안양동 만안로 232
명학,대한민국 경기도 안양시 만안구 안양동 1163-1
군포,대한민국 군포시 군포1동 군포
의왕,대한민국 경기도 의왕시 삼동 191-5
화서,대한민국 수원시 화서동 화서역
독산,대한민국 서울특별시 금천구 가산동 627
세류,대한민국 경기도 수원시 권선구 장지동 22-1
병점,대한민국 경기도 화성시 진안동 824-15
세마,대한민국 경기도 오산시 세마동 241-1
오산대,대한민국 경기도 오산시 신장동 435-3
오산,대한민국 경기도 오산시 오산동 603-1
진위,대한민국 경기도 평택시 진위면 하북리 170-12
송탄,대한민국 경기도 평택시 신장동 282-1
서정리,대한민국 평택시 중앙동 서정리
지제,대한민국 경기도 평택시 지제동 202-3
평택,대한민국 경기도 평택시 평택동 185-568
성환,대한민국 천안시 성환읍 성환
직산,대한민국 충청남도 천안시 서북구 직산읍 천안대로 1471-33
두정,대한민국 충청남도 천안시 서북구 부성동 83-19
천안,대한민국 충청남도 천안시 동남구 중앙동 57-1
당정,대한민국 경기도 군포시 군포1동 655-1
서동탄,대한민국 경기도 오산시 세마동 260-1
광명,대한민국 경기도 광명시 일직동 267-2
산본,대한민국 경기도 군포시 산본동 번영로 504
대야미,대한민국 경기도 군포시 대야동 233-4
반월,대한민국 경기도 안산시 상록구 반월동 산64-1
상록수,대한민국 경기도 안산시 상록구 일동 상록수로 61 평화의소녀상
한대앞,대한민국 경기도 안산시 상록구 이동 19-1
중앙,대한민국 경기도 안산시 단원구 호수동 167-598
고잔,대한민국 경기도 안산시 단원구 호수동 453-58
초지,대한민국 경기도 안산시 단원구 초지동 125
안산,대한민국 경기도 안산시 단원구 원곡본동 357-2
신길온천,대한민국 경기도 안산시 단원구 신길동 216-109
정왕,대한민국 경기도 시흥시 정왕동 2325-12
수리산,대한민국 군포시 산본동 수리산역.5단지
개봉,대한민국 서울특별시 구로구 개봉동 415
오류동,대한민국 서울특별시 구로구 오류동 19-13
역곡,대한민국 부천시 역곡동 역곡
부천,대한민국 경기도 부천시 소사구 심곡동 부천로 1
송내,대한민국 경기도 부천시 원미구 상동 632-4
백운,대한민국 인천광역시 부평구 십정동 539
동암,대한민국 인천광역시 부평구 십정동 472
제물포,대한민국 인천광역시 남구 도화동 649-1
동인천,대한민국 인천광역시 동구 송현1.2동 100-250
부개,대한민국 인천광역시 부평구 부개동 468
간석,대한민국 인천광역시 남동구 간석동 762-24
도원,대한민국 인천광역시 남구 숭의동 110-62
중동,대한민국 경기도 부천시 소사구 송내2동 504-8
도화,대한민국 인천광역시 남구 도화동 583-3
서울숲,대한민국 서울특별시 성수동1가 서울숲
압구정로데오,대한민국 서울특별시 압구정동 압구정로데오
소사,대한민국 경기도 부천시 원미구 소사동 51
가천대,대한민국 경기도 성남시 수정구 태평동 성남대로 지하 1332
태평,대한민국 경기도 성남시 수정구 태평동 6973-2
서현,대한민국 경기도 성남시 분당구 서현1동 황새울로360번길
수내,대한민국 경기도 성남시 분당구 수내1동 14
미금,대한민국 경기도 성남시 분당구 금곡동 222
오리,대한민국 성남시 구미동 오리역
보정,대한민국 용인시 보정동 보정
죽전,대한민국 경기도 용인시 수지구 죽전2동 포은대로 536
신갈,대한민국 용인시 신갈동 신갈
상갈,대한민국 경기도 용인시 기흥구 상갈동 463-3
청명,대한민국 수원시 영통동 청명
영통,대한민국 수원시 영통동 영통역
망포,대한민국 충청북도 청주시 상당구 율량동 망포
매탄권선,대한민국 경기도 수원시 영통구 매탄3동 1108-1
수원시청,대한민국 경기도 수원시 팔달구 인계동 1046-19 번지 수원 프라자 3 층
매교,대한민국 수원시 매교역
월곶,대한민국 시흥시 군자동 월곶역
소래포구,대한민국 인천광역시 논현1동 소래포구역
인천논현,대한민국 인천광역시 논현2동 인천논현
호구포,대한민국 인천광역시 논현2동 호구포역
남동인더스파크,대한민국 인천광역시 논현동 남동인더스파크역
연수,대한민국 인천광역시 연수동 연수역
송도,대한민국 인천광역시 연수구 옥련동 302-4
신포,대한민국 인천광역시 중구 항동7가 1-78
방학,대한민국 서울특별시 방학동 방학
도봉,대한민국 서울특별시 도봉구 도봉동 89-159
망월사,대한민국 경기도 의정부시 호원동 111
의정부,대한민국 경기도 의정부시 의정부동 시민로
가능,대한민국 경기도 의정부시 가능1동 평화로 663
녹양,대한민국 의정부시 녹양동 녹양역
양주,대한민국 양주시 남방동 양주역
덕계,대한민국 경기도 양주시 덕계동 209-3
덕정,대한민국 경기도 동두천시 지행동 덕정
지행,대한민국 동두천시 송내동 지행
동두천중앙,대한민국 경기도 동두천시 생연동 638-15
보산,대한민국 경기도 동두천시 보산동 424-8
동두천,대한민국 경기도 동두천시 소요동 245-210
소요산,대한민국 경기도 동두천시 상봉암동 126번지
