시,구,구코드,동,법정동,법정동코드,합계
서울특별시,양천구,11470,신월6동,신월동,11470103,254
서울특별시,양천구,11470,신월7동,신월동,11470103,"1,165"
서울특별시,양천구,11470,신정1동,신정동,11470101,577
서울특별시,양천구,11470,신정2동,신정동,11470101,728
서울특별시,양천구,11470,신정3동,신정동,11470101,"2,111"
서울특별시,양천구,11470,신정6동,신정동,11470101,470
서울특별시,양천구,11470,신정7동,신정동,11470101,"1,390"
서울특별시,양천구,11470,목5동,목동,11470102,743
서울특별시,양천구,11470,신정4동,신정동,11470101,"1,616"
서울특별시,강서구,11500,염창동,염창동,11500101,"1,070"
서울특별시,강서구,11500,등촌1동,등촌동,11500102,733
서울특별시,강서구,11500,등촌2동,등촌동,11500102,723
서울특별시,강서구,11500,등촌3동,등촌동,11500102,"3,901"
서울특별시,강서구,11500,화곡본동,화곡동,11500103,"1,439"
서울특별시,강서구,11500,화곡2동,화곡동,11500103,780
서울특별시,강서구,11500,화곡3동,화곡동,11500103,839
서울특별시,강서구,11500,화곡4동,화곡동,11500103,954
서울특별시,강서구,11500,화곡6동,화곡동,11500103,978
서울특별시,강서구,11500,화곡8동,화곡동,11500103,"1,075"
서울특별시,강서구,11500,가양1동,가양동,11500104,818
서울특별시,강서구,11500,가양2동,가양동,11500104,"2,462"
서울특별시,강서구,11500,가양3동,가양동,11500104,"1,669"
서울특별시,강서구,11500,발산1동,마곡동,11500105,"1,468"
서울특별시,강서구,11500,공항동,마곡동,11500105,"1,094"
서울특별시,강서구,11500,방화1동,마곡동,11500105,"1,787"
서울특별시,강서구,11500,방화2동,방화동,11500109,"1,614"
서울특별시,강서구,11500,방화3동,방화동,11500109,"1,999"
서울특별시,강서구,11500,화곡1동,화곡동,11500103,"2,113"
서울특별시,강서구,11500,우장산동,화곡동,11500103,"1,294"
서울특별시,구로구,11530,신도림동,신도림동,11530101,947
서울특별시,구로구,11530,구로1동,구로동,11530102,529
서울특별시,구로구,11530,구로3동,구로동,11530102,905
서울특별시,구로구,11530,구로4동,구로동,11530102,"1,189"
서울특별시,구로구,11530,구로5동,구로동,11530102,"1,104"
서울특별시,구로구,11530,고척1동,고척동,11530106,"1,116"
서울특별시,구로구,11530,고척2동,고척동,11530106,"1,300"
서울특별시,구로구,11530,개봉2동,개봉동,11530107,"1,436"
서울특별시,구로구,11530,개봉3동,개봉동,11530107,979
서울특별시,구로구,11530,오류1동,오류동,11530108,"1,075"
서울특별시,구로구,11530,오류2동,오류동,11530108,"2,120"
서울특별시,구로구,11530,수궁동,궁동,11530109,"1,241"
서울특별시,구로구,11530,가리봉동,가리봉동,11530103,583
서울특별시,구로구,11530,구로2동,구로동,11530102,"1,453"
서울특별시,구로구,11530,개봉1동,개봉동,11530107,"1,626"
서울특별시,금천구,11545,가산동,가산동,11545101,732
서울특별시,금천구,11545,독산1동,독산동,11545102,"1,926"
서울특별시,금천구,11545,독산2동,독산동,11545102,958
서울특별시,금천구,11545,독산3동,독산동,11545102,"1,205"
서울특별시,금천구,11545,독산4동,독산동,11545102,796
서울특별시,금천구,11545,시흥1동,시흥동,11545103,"1,665"
서울특별시,금천구,11545,시흥2동,시흥동,11545103,"1,127"
서울특별시,금천구,11545,시흥3동,시흥동,11545103,541
서울특별시,금천구,11545,시흥4동,시흥동,11545103,"1,065"
서울특별시,금천구,11545,시흥5동,시흥동,11545103,"1,182"
서울특별시,영등포구,11560,여의동,여의도동,11560110,768
서울특별시,영등포구,11560,당산1동,당산동1가,11560111,805
서울특별시,영등포구,11560,당산2동,당산동4가,11560114,929
서울특별시,영등포구,11560,양평1동,양평동1가,11560125,734
서울특별시,영등포구,11560,양평2동,양평동3가,11560127,636
서울특별시,영등포구,11560,신길1동,신길동,11560132,816
서울특별시,영등포구,11560,신길3동,신길동,11560132,797
서울특별시,영등포구,11560,신길4동,신길동,11560132,533
서울특별시,영등포구,11560,신길5동,신길동,11560132,554
서울특별시,영등포구,11560,신길6동,신길동,11560132,782
서울특별시,영등포구,11560,신길7동,신길동,11560132,492
서울특별시,영등포구,11560,대림1동,대림동,11560133,760
서울특별시,영등포구,11560,대림2동,대림동,11560133,709
서울특별시,영등포구,11560,대림3동,대림동,11560133,"1,132"
서울특별시,영등포구,11560,영등포본동,영등포동,11560101,"1,058"
서울특별시,영등포구,11560,영등포동,영등포동,11560101,"1,068"
서울특별시,영등포구,11560,도림동,도림동,11560118,908
서울특별시,영등포구,11560,문래동,문래동1가,11560119,923
서울특별시,동작구,11590,노량진2동,노량진동,11590101,666
서울특별시,동작구,11590,상도1동,상도동,11590102,"1,556"
서울특별시,동작구,11590,상도2동,상도동,11590102,951
서울특별시,동작구,11590,상도3동,상도동,11590102,"1,138"
서울특별시,동작구,11590,상도4동,상도동,11590102,"1,306"
서울특별시,동작구,11590,사당1동,사당동,11590107,797
서울특별시,동작구,11590,사당3동,사당동,11590107,815
서울특별시,동작구,11590,사당4동,사당동,11590107,560
서울특별시,동작구,11590,사당5동,사당동,11590107,503
서울특별시,동작구,11590,대방동,대방동,11590108,"1,605"
서울특별시,동작구,11590,신대방1동,신대방동,11590109,820
서울특별시,동작구,11590,신대방2동,신대방동,11590109,720
서울특별시,동작구,11590,흑석동,흑석동,11590105,"1,098"
서울특별시,동작구,11590,노량진1동,노량진동,11590101,"1,263"
서울특별시,동작구,11590,사당2동,동작동,11590106,893
서울특별시,관악구,11620,보라매동,봉천동,11620101,"1,108"
서울특별시,관악구,11620,청림동,봉천동,11620101,679
서울특별시,관악구,11620,행운동,봉천동,11620101,"1,097"
서울특별시,관악구,11620,낙성대동,봉천동,11620101,475
서울특별시,관악구,11620,중앙동,봉천동,11620101,597
서울특별시,관악구,11620,인헌동,봉천동,11620101,901
서울특별시,관악구,11620,남현동,남현동,11620103,566
서울특별시,관악구,11620,서원동,신림동,11620102,847
서울특별시,관악구,11620,신원동,신림동,11620102,831
서울특별시,관악구,11620,서림동,신림동,11620102,869
서울특별시,관악구,11680,신사동,신사동,11680107,904
서울특별시,관악구,11620,신림동,신림동,11620102,541
서울특별시,관악구,11620,난향동,신림동,11620102,710
서울특별시,관악구,11620,조원동,신림동,11620102,736
서울특별시,관악구,11620,대학동,신림동,11620102,717
