기간	자치구	동	합계	합계	합계	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형	장애유형
기간	자치구	동	합계	합계	합계	지체	지체	지체	뇌병변	뇌병변	뇌병변	시각	시각	시각	청각	청각	청각	언어	언어	언어	지적장애	지적장애	지적장애	자폐성	자폐성	자폐성	정신장애	정신장애	정신장애	신장장애	신장장애	신장장애	심장장애	심장장애	심장장애	호흡기	호흡기	호흡기	간	간	간	안면	안면	안면	장루요루	장루요루	장루요루	뇌전증	뇌전증	뇌전증
기간	자치구	동	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2018	중구	동화동	432	224	208	209	88	121	52	31	21	39	25	14	56	33	23	3	2	1	24	14	10	9	5	4	12	7	5	14	8	6	2	2	-	3	2	1	3	3	-	-	-	-	3	2	1	3	2	1
2018	용산구	소계	8,102	4,668	3,434	3,657	1,984	1,673	831	500	331	999	614	385	1,079	587	492	69	48	21	518	329	189	104	82	22	291	154	137	342	217	125	19	12	7	46	37	9	62	48	14	7	5	2	60	42	18	18	9	9
2018	용산구	후암동	807	447	360	344	172	172	99	61	38	94	57	37	98	52	46	6	4	2	69	45	24	10	5	5	34	14	20	30	19	11	1	-	1	7	5	2	4	4	-	1	1	-	4	4	-	6	4	2
2018	용산구	용산2가동	488	282	206	233	125	108	51	33	18	56	37	19	63	36	27	3	3	-	38	20	18	2	2	-	18	9	9	13	8	5	1	-	1	3	3	-	3	3	-	-	-	-	4	3	1	-	-	-
2018	용산구	남영동	575	454	121	246	189	57	61	47	14	79	68	11	61	51	10	5	4	1	42	30	12	5	4	1	42	32	10	19	14	5	1	1	-	8	8	-	1	1	-	-	-	-	2	2	-	3	3	-
2018	용산구	원효로2동	496	280	216	207	109	98	57	32	25	65	38	27	77	47	30	4	4	-	28	15	13	4	3	1	16	7	9	22	15	7	1	-	1	2	2	-	7	4	3	-	-	-	6	4	2	-	-	-
2018	용산구	효창동	307	158	149	138	63	75	34	19	15	41	19	22	43	21	22	1	-	1	16	12	4	6	6	-	4	2	2	15	10	5	1	1	-	-	-	-	3	3	-	1	1	-	3	1	2	1	-	1
2018	용산구	용문동	475	244	231	208	110	98	48	28	20	51	25	26	78	31	47	6	2	4	34	19	15	7	5	2	15	7	8	19	9	10	3	3	-	2	1	1	2	2	-	-	-	-	2	2	-	-	-	-
2018	용산구	이촌1동	538	310	228	223	113	110	61	34	27	56	35	21	81	51	30	7	5	2	30	22	8	18	13	5	12	3	9	32	23	9	2	-	2	4	3	1	4	3	1	2	1	1	6	4	2	-	-	-
2018	용산구	이촌2동	378	213	165	180	102	78	37	16	21	38	19	19	50	24	26	2	2	-	26	18	8	6	4	2	12	9	3	18	12	6	-	-	-	3	2	1	3	3	-	-	-	-	2	2	-	1	-	1
